Tissue	Cell type	Marker genes
Liver	Cholangiocytes	"AGR2,ALB,ALPL,AQP1,AQP4,CD24,CFTR,CLDN4,CXCL1,CXCL6,DEFB1,ELF3,EPCAM,FXYD2,GGT1,GGT6,GGT7,GPBAR1,HNF1B,ITGB4,JAG1,KCNN2,KRT19,KRT7,KRT8,LCN2,LGALS2,LGALS4,MMP7,MUC5B,ONECUT2,PIGR,SCGB3A1,SLC4A2,SOX9,SPP1,SSTR2,TACSTD2,TFF1,TFF2,TFF3"
Liver	Endothelial cell	"APPBP2,ARGLU1,ATP10D,BNIP1,BST2,BTNL9,C11orf96,CCDC85B,CCL14,CD34,CD4,CDC73,CDKL1,CHD4,CLEC1B,CLEC2B,CLEC4G,CLEC4M,CRBN,CRHBP,CTSL,DCLRE1C,DIPK2A,DLC1,DLG1,DLK1,DNASE1L3,DOCK1,DUSP5,EFNB2,ENG,F8,FCN2,FCN3,FILIP1,FLT1,FOSB,FXYD6,GBP4,GGA2,GNG11,HES1,HYI,IL1R1,IL33,KDR,KIF1B,KLHL28,LDB2,MCAM,MCM3AP,MEF2C,MFN1,MGAT5,MPZL3,MRC1,OIT3,PECAM1,PIK3C2A,PPWD1,PTPRC,RASGEF1B,RASGRP3,RELN,RIN2,SECISBP2L,STAB1,STAB2,STRN3,TCF12,TEX264,TFRC,TRAPPC11,TSPAN7,USP48,VWF,ZNF286B"
Liver	Hematopoietic cell	"CD34,PTPRC"
Liver	Hepatic stellate cells	"ACTA2,ALB,BGN,CCL2,CCN1,CCN2,COL1A1,COL1A2,COL3A1,COLEC11,CYGB,DCN,DES,FAP,FGF10,FOXF1,GFAP,HGF,IGFBP3,IGFBP6,IGFBP7,MEG3,MYB,MYL9,NGFR,NR1H4,OLFML3,PDGFRA,PPARA,PPARG,RBP1,RELN,RGS5,SEMA7A,SLC8A1,SPARC,SYP,TAGLN,TIMP1,TPM2,VCL,VEGFA,WT1"
Liver	Hepatoblasts	"AFP,ALB,CDH1,CEBPA,DLK1,FOXM1,GGT1,HHEX,HNF1B,HNF4A,KRT14,KRT18,KRT8,MAP2K4,MET,PROX1,SMAD5"
Liver	Hepatocytes	"A1CF,ABCC3,ACADM,ACAT2,ACLY,ACSS2,AFP,AHR,AKR1C1,ALB,ALDH6A1,AMBP,ANG,ANXA13,APOA1,APOA2,APOA5,APOB,APOC3,APOH,APOM,AQP3,AQP9,AR,ARG1,ASGR1,ASL,ASS1,ATIC,ATP7B,AZGP1,BCHE,BNIP3,C1orf53,C4B,CD3G,CDH1,CEBPA,CP,CPS1,CRP,CTNNB1,CYP1A2,CYP2E1,DEFB1,EID2,ENTPD5,EPB41L4B,EPPK1,FGA,FGB,FGFR4,FGG,FGL1,FOSL1,FOXA1,FOXA2,FOXA3,FST,G0S2,G6PC,GC,GCK,GHR,GJB2,GLS2,GLUL,GPAT4,GPC3,GRB14,GSTA2,HAL,HAMP,HHEX,HMGCS1,HNF4A,HSD11B1,KIF13B,KRT18,KRT8,LEPR,LIPC,LRP5,MASP2,MCC,MRPS18C,MSMO1,NNT,NOS2,OCIAD1,ORM1,OTC,PAH,PCK1,PHLDA1,PLSCR1,PON3,PROX1,PRRG4,RCAN1,RHOB,RND3,RPP25L,SAA4,SAMD5,SAT2,SCD,SDC2,SEC16B,SERPINA1,SERPINA6,SERPINH1,SFRP5,SLBP,SLC10A1,SLC2A2,SLPI,SPTBN1,SULT1A1,TAT,TFR2,TKFC,TM4SF4,TM4SF5,TM7SF2,TMEM97,TP53INP2,TTC36,TTR,UCP2,VDR,WT1,WTAP,ZHX2"
Liver	Immune system cells	"ACP5,ACSL4,AHI1,AKAP5,ANKRD10,ARHGAP9,ARID5B,ARPC1B,ASB2,ATXN1,BATF,BST2,BTG3,C9orf16,CALM3,CAMK1,CCDC141,CCDC50,CCND2,CCR1,CD19,CD244,CD27,CD38,CD3D,CD3E,CD3G,CD4,CD58,CD7,CD70,CD82,CD84,CD8A,CDKN2A,CHST12,CKAP2,CLNK,CREM,CSF1,CTLA4,CTNNA1,CTNNB1,CTSD,CXCL13,CXCR6,DNPH1,DPP4,DUSP1,DUSP4,ENTPD1,EPSTI1,ETV7,FKBP1A,FOXP3,FUT8,GABARAPL1,GALM,GAPDH,GATA3,GBP2,GBP4,GCNT1,GSTO1,HAVCR2,HLA-DMA,HNRNPLL,HPGD,ICAM3,ICOS,IFI27L2,IFI35,IFI6,IFNG,IFNGR1,IGFLR1,IGHD,IKZF2,IKZF3,IL12RB2,IL21R,IL2RA,IL2RB,INPP5F,IRF9,ITM2A,KIF20B,LAP3,LASP1,LAT2,LAYN,LIMS1,LYST,MAF,MAP1LC3A,MAP2K3,MAPKAPK3,MCL1,METTL8,MS4A1,MX1,MYO1E,NAB1,NAPA,NCF4,NDFIP2,NEDD9,NFAT5,NUDT5,OAS3,OS9,P2RY10,PARK7,PDCD1,PDE7B,PELI1,PHACTR2,PHEX,PHLDA1,PHTF2,PKM,PPM1G,PRDM1,PRDX5,PRKAR1A,PRNP,PSME2,PTPN11,PTPRC,PTTG1,RAB11FIP1,RBPJ,RFX5,RGS1,RGS2,RHBDD2,RNF19A,SAMSN1,SARDH,SCO2,SIRPG,SLA,SLAMF1,SLC4A10,SNX9,SPOCK2,SRGN,SSH1,STAM,SUSD6,SYNGR2,TBC1D4,TET2,TFRC,TIGIT,TNFAIP3,TNFRSF18,TNFRSF1B,TNFRSF9,TNS3,TOX,TOX2,TPI1,TRAF3,TRPS1,TTYH3,TYMP,UBE2L6,VMP1,WARS,WHRN,ZBED2,ZFP36L1"
Liver	Kupffer cells	"ADGRE1,C1QA,C1QB,C1QC,CCR5,CD14,CD163,CD38,CD68,CHIT1,CLEC1B,CLEC4E,CLEC4F,CLEC4G,CSF1R,DNASE1L3,FOLR2,FTL,G6PD,GPIHBP1,HFE,IL1B,IRF7,LYZ,MARCO,MMP13,MNDA,MPO,MSR1,OSM,PLTP,PPARA,PPARD,PROK2,SLC11A1,SLC15A3,SLC40A1,SPIC,STARD5,TIMD4,TNF,TREM1,VDR,VSIG4"
Liver	Liver progenitor cell	"KRT19,KRT7"
Liver	Mast cells	"CD9,ENPP3,FCER1A,FCER2,IL2RA,ISG20,KIT,SLC18A2,TPSB2"
Liver	Mesenchymal stem cell	"CD44,ENG,ITGB1,NT5E,THY1"
Liver	Monocytes	"CD14,FCGR3A,FCGR3B"
Liver	Cancer stem cells	"ANPEP,CD44,EPCAM,POU5F1,PROM1,THY1"
Lung	Airway epithelial cells	"ADH7,AQP1,CDH1,SEC14L3"
Lung	Airway goblet cells	"AGR2,AQP5,CEACAM1,DMBT1,DUSP4,FXYD3,GALNT5,GALNT6,GGH,GOLPH3,GP2,IL19,LIPF,LTF,LYNX1,MSLN,MUC16,MUC4,MUC5B,NOS2,PIGR,QSOX1,SCGB3A1,SEC23B,SPDEF,TFF2"
Lung	Mesothelial cells	"C2,CALB2,CD44,CDH1,DES,EFEMP1,EPCAM,GSTA3,KRT5,KRT7,KRT72,LGALS7,LRRN4,ME1,ME2,MSLN,MUC16,OSR1,RSPO1,THBD,UPK3B,WT1"
Lung	Fibroblasts	"COL3A1,COL5A2,DPT,FN1,GSN,LRP1,PDGFRA,TCF21"
Lung	Basal cells (Airway progenitor cells)	"ABI3BP,AQP3,DAPL1,GSTM2,HPGD,ICAM1,KRT14,KRT15,KRT5,PHLDA3,RPS18,SDC1"
Lung	Alveolar macrophages	"ABCG1,CCL3,CD36,CLEC7A,CSF2RB,CXCL2,G0S2,GAL,GDA,GNGT2,GPNMB,IL18,IL1B,ITGAX,KLHDC4,MARCO,MCEMP1,MPP1,MRC1,OLR1,PLET1,S100A4,TLR2,TNFAIP2,TRIM25"
Lung	Ciliated cells	"APPL2,ATP5MD,CCDC153,CCDC17,CCDC181,CCDC39,CYP2S1,FAM161A,FOXJ1,LRRC23,ODF3B,SCGB1A1,SEC14L3,SNTN,STK11,TMEM212,TSPAN19,TUBB4B"
Lung	Clara cells	"AHR,ALDH1A1,BPIFA1,CTSE,CYP2E1,CYP4B1,ERN1,FOXM1,LEPR,MUC1,MUC4,MUC5B,RAB3D,SCGB1A1,SCGB3A1,SCGB3A2,SFTPA1,SFTPC,SFTPD,SYT2"
Lung	Immune system cells	"ADGRE1,ARG1,BIRC5,CCL17,CCL18,CD14,CD163,CD19,CD22,CD3D,CD3E,CD3G,CD4,CD44,CD5,CD68,CD74,CD80,CD83,CD86,CD8A,CD8B,CDCA3,CDK1,CEBPE,CR2,CSF1R,EAF2,FCER2,FCGR3A,FLT3,GIMAP3P,HLA-DRA,HMMR,IGHM,IL2RA,ITGAE,ITGAM,ITGAX,LAX1,MS4A14,MZB1,NRP1,NUSAP1,PAX5,PRG2,PTPRC,SLPI,THBD,TNFRSF17,TRBC1,XCR1"
Lung	Endothelial cell	"CD34,EGFL7,EMCN,ESAM,FLT1,KDR,MCAM,PECAM1,RAMP2,TEK,VWF"
Lung	Epithelial cells	"ANPEP,EPCAM,IL10,IL6R"
Lung	Ionocytes	"CFTR,CLCNKB,FOXI1,KCNMA1,SCGB1A1,SLC12A2,TFCP2L1"
Lung	Pulmonary alveolar type I cells	"AGER,AKAP5,AQP3,AQP5,CCN2,CLDN18,CLIC5,COL4A3,COL4A4,CRLF1,CYP4B1,EGFL6,EMP2,FSTL3,GPRC5A,HOPX,ICAM1,IGFBP6,KRT7,MEX3B,MMP11,P2RX7,PDPN,PXDC1,RTKN2,SCNN1A,SCNN1B,SCNN1G,SEC14L3,SEMA3B,SEMA3E,SMARCA1,VEGFA"
Lung	Pulmonary alveolar type II cells	"ABCA3,ADGRF5,AGER,CD36,CD3G,CEBPA,CLDN18,CRLF1,CTNND1,CXCL2,CXCR2,DDX3Y,EGFL6,ETV5,GRK2,IL1B,INMT,IRX1,LAMP3,LPCAT1,LRG1,MUC1,NAPSA,NKX2-1,NRN1,PGC,PIGR,PPBP,PPP1R14C,RUNX3,S100G,SDC1,SFTA2,SFTPA1,SFTPB,SFTPC,SFTPD,SLC34A2,SOAT1"
Lung	Secretory cell	"MUC5B,PIGR,SCGB1A1"
Lung	Cancer stem cells	"ABCG2,ALCAM,ALDH1A1,BMI1,CD24,CD44,KIT,NANOG,NES,PDPN,POU5F1,PROM1,SOX2,THY1"
Muscle	Airway smooth muscle cells	"ACTA2,FOXF1,GATA5,NOG"
Muscle	Endothelial cell	"CD34,CDH5,PECAM1"
Muscle	Mesenchymal stem cell	"CD44,ENG,NT5E,THY1"
Muscle	Muscle satellite cell	"CD82,PAX7"
Muscle	Myoblasts	"ACHE,ADAM12,ANGPT2,ARL4D,BRAF,CAPN1,CCL2,CDH15,CXCL1,DES,EGFR,ENO3,FGFR4,FLNC,IGF2,LIF,MUSK,MYD88,MYF5,MYOD1,MYOG,NGF,PAX3,PAX7,PDZRN3,SIX1,STK40,TBX3,TNFRSF12A,TPM2,TTN,ZBTB16"
Muscle	Myocytes	"ACTA1,ACTC1,ACTN2,ACTN3,ADAM12,ANKRD1,ARHGAP26,CAPZA3,CAV3,CDH15,CHODL,CKM,CLOCK,CMKLR1,CXCR4,DES,DLL1,DMD,DOCK1,DOCK5,EDN1,ENO3,FHL2,FLNC,GATA4,GATA5,IL4,IQSEC1,ITGA3,ITGA7,LAMA2,LAMB1,LDB1,LDB3,MEF2A,MEF2B,MEF2D,MMP2,MMP9,MRC1,MSTN,MYF5,MYH14,MYH7,MYL1,MYLPF,MYOD1,MYOG,NBR1,NEB,NID1,NID2,NOTCH3,NPHS1,NPPB,PAX3,PAX7,PLD1,POPDC2,PRKCQ,PTGIR,PTK2,PXN,PYGM,SIX1,SIX4,SULF1,TCAP,THBS4,TNNC1,TNNI1,TNNI2,TNNT1,TNNT3,TPM2,TRIO,TTN,WASHC1,WIPF1"
Muscle	Myoepithelial cells	"ACTA2,ACTG2,CD109,CDH3,CNN1,EGFR,FST,GRWD1,KRT14,KRT17,KRT5,LAMB3,LAMC2,MDFI,MME,MYH11,MYL9,MYLK,NGFR,PXN,SERPINB5,SFN,SMIM3,SPHK1,TP63"
Muscle	Myofibroblasts	"ACTA2,CALD1,CDH11,DES,GFAP,MYL9,PALLD,TAGLN,TNS1"
Muscle	Pericytes	"ALPG,CSPG4,MCAM,PDGFRA,PDGFRB"
Muscle	Pulmonary vascular smooth muscle cells	"ANGPT1,PDGFRB"
Muscle	Satellite cells	"ASB5,BARX2,BMI1,CAV1,CD82,CDCP1,CDH1,CDH15,CXCL1,CXCR4,DMD,ERBB2,FOXK1,GAL,HEYL,HMOX1,HOXC10,IRF2,ISL1,ITGA7,MESP1,MET,MSTN,MYF5,MYOD1,NCAM1,NFATC2,NOTCH3,PAX3,PAX7,PEG3,RUNX1,SCRIB,SIX1,SOX8,SPRY1,SRXN1,TCF21,TNFRSF12A,TRIM32,VAMP2,VCAM1"
Muscle	Smooth muscle cells	"ACKR3,ACTA2,ACTC1,ACTG2,ADAMDEC1,AKT2,ANGPT1,ANKRD1,AOC3,BGN,CCN3,CNN1,CRABP1,DES,DMPK,EHD2,FABP4,FAS,FBLN5,FHL2,GJA4,GJC1,HEXIM1,HHIP,HSPB6,ITGA1,ITGA8,ITGA9,JPH2,KAT2B,KCNAB1,KCNMB1,KIF1C,LAMB2,LGR6,LMO7,LMOD1,LOX,MAP3K7CL,MFAP5,MRVI1,MSRB3,MUSTN1,MYH11,MYH6,MYL9,MYLK,NEXN,NF2,NOTCH3,NOX4,NRP2,OBSCN,OGN,OTUD1,PCP4L1,PDE4DIP,PDGFD,PLN,PLXNA1,PRXL2C,RASL12,RBPMS2,RGS5,RPL10,RPRM,RRAD,SEC24D,SH3BGR,SLC38A11,SMOC1,SMTN,SNCG,SOD3,SPEG,SPON2,SSPN,TAGLN,TCF21,VASN,WFDC1,WWP2,ZBTB44"
Muscle	Vascular smooth muscle cells	"ACTA2,MYH11,PDGFRB,SEMA3D,TBX18,WT1"
Pancreas	Acinar cells	"AKR1C3,ALDOB,AMY2B,ANGPTL4,ANPEP,C15orf48,CEL,CELA1,CELA2A,CELA3A,CELA3B,CFB,CLPS,CPA1,CPA2,CPB1,CTRB1,CTRB2,CTRC,CXCL17,GDF15,GSTA1,GSTA2,KLK1,LGALS2,LYZ,MUC1,OLFM4,PDZK1IP1,PLA2G1B,PNLIP,PNLIPRP1,PRSS1,PRSS2,PRSS3,PTF1A,RARRES2,RBPJL,REG1A,REG1B,REG3A,RNASE1,SPINK1,SYCN,ZG16"
Pancreas	Alpha cells	"ALDH1A1,ARX,CHGA,CRYBA2,DPP4,F10,FAP,FEV,GC,GCG,IRX1,IRX2,KCNK16,KLHL41,LDB2,MAFB,NEUROD1,NKX2-2,NKX6-1,PAX6,PCSK1,PCSK2,PEMT,PGR,PLCE1,POU3F4,PRRG2,PTGER3,PYY,RESP18,RFX6,SCGB2A1,SCGN,SH3GL2,SLC30A8,SLC38A5,SMARCA1,SMIM24,TM4SF4,TTR,UCP2"
Pancreas	Beta cells	"ADCYAP1,BMP5,CASR,CD40,EDARADD,EFNA5,EZH1,FFAR2,FXYD2,G6PC2,GCGR,GJD2,HAMP,HOPX,IAPP,IGF2,INS,ISL1,JPH3,LMX1A,MAFA,MAFB,NEUROD1,NKX2-2,NKX6-1,NKX6-2,NPTX2,NPY,NTRK1,PAX4,PAX6,PCSK1,PCSK2,PDX1,PFKFB2,PIR,RIMS1,SCGB2A1,SCGN,SH3GL2,SIX2,SIX3,SLC2A2,SLC30A8,SMAD9,SYT13,TGFBR3"
Pancreas	Delta cells	"BAIAP3,BCHE,BHLHE41,CASR,EDN3,EHF,ETV1,FFAR4,FRZB,FXYD2,GABRB3,GABRG2,GPC5-AS1,HHEX,IAPP,ISL1,KCNK16,LCORL,LEPR,MS4A8,NPTX2,PAX4,PCSK1,PCSK9,PDX1,POU3F1,PRG4,RBP4,RESP18,SCGN,SST,UCP2,UNC5B"
Pancreas	Ductal cells	"AKR1C3,ALDH1A3,AMBP,ANXA4,AQP1,CFB,CFTR,CLDN1,CLDN10,DEFB1,GDF15,HHEX,HNF1B,KRT19,KRT20,LGALS4,MMP7,MUC1,ONECUT1,PDLIM3,PDX1,PERP,PIGR,SERPINA5,SERPING1,SLPI,SPP1,TFF1,TFF2,TSPAN8,WFDC2"
Pancreas	Endothelial cells	"A2M,CD34,CDH5,ENG,KDR,MCAM,PDPN,PECAM1,SELE,VWF"
Pancreas	Epsilon cells	"ADAMTS6,AFF3,ANXA13,ARX,ASGR1,BHMT,BMP4,CD109,COL12A1,COL22A1,CORIN,COX6A2,ELOVL2,EYA4,FAM124A,GHRL,HMGCS2,HRH2,ITGA4,MYO1A,NPY1R,OLFML3,OPRK1,PCSK6,PHGR1,PTGER4,SLC6A16,SLC7A9,THSD4,TM4SF5,XYLB"
Pancreas	Gamma (PP) cells	"ABCC9,APOBEC2,AQP3,ARX,CARTPT,CHN2,CMTM8,EGR3,ENTPD2,ETV1,FXYD2,GPC5-AS1,ISL1,LMO3,MEIS1,NEUROD1,PAX6,PPY,PTGFR,PXK,SCGB2A1,SCGN,SEMA3E,SERTM1,SLITRK6,THSD7A,ZNF503"
Pancreas	Immune system cells	"CCR7,CD14,CD163,CD19,CD27,CD38,CD4,CD68,CD7,CD79A,CD8A,CTLA4,CYTIP,FOXP3,IGHD,IGKC,IGLC2,IGLC3,IL2RA,IL7R,ISG20,ITGAM,MRC1,MS4A1,MS4A7,SELL"
Pancreas	Mast cells	"CD9,ENPP3,FCER1A,FCER2,IL2RA,ISG20,KIT,SLC18A2,TPSB2"
Pancreas	Mesenchymal cells	"ALCAM,ENG,ITGB1,KIT,NT5E,THY1"
Pancreas	Pancreatic progenitor cells	"ARX,CTNNB1,CXCR4,EPAS1,ISL1,MFNG,NEUROG3,NKX2-2,ONECUT1,PDX1,PTF1A,RGS16,RPL23A,SOX9,YAP1"
Pancreas	Pancreatic stellate cells	"CCN2,CYGB,DYNLT1,GEM,INHBA,KRT10,MMP14,NDUFA4L2,PDGFRA,PDGFRB,RGS5,SPON2,TGFB1,TIMP1"
Pancreas	Peri-islet Schwann cells	"EGFL8,FIGN,GFRA1,GFRA2,GFRA3,GULP1,INSC,LRRTM1,MPZ,NGFR,OLFML2A,PNLIPRP1,SEMA3B,SLITRK2,SLITRK6,VGLL3"
Pancreas	Cancer stem cells	"CD24,CD44,FLOT2"
Reproductive	Cancer cell	"MUC1,MUC16,PAX8,WT1"
Reproductive	Decidual cells	"AREG,CST7,CTSW,IGFBP1,IL32,KLRC1,PRL,TRDC,XCL1,XCL2"
Reproductive	Endothelial cell	"A2M,AKAP12,ANP32E,ANXA2,ARMCX2,BCHE,BIRC5,CARD8,CDCA5,CKS1B,CMTM7,COL6A2,COTL1,DAB2,DNMT1,ELF1,ELK3,ENTPD1,EPHB4,ETS2,F2R,FKBP1A,FLRT2,FN1,FSTL1,GNG11,GPR161,GYPC,HLA-E,HSPB1,IDH2,ITGA5,ITM2A,JAM3,LAMA4,LDB2,LIMS1,MAN1A1,MARCKS,MDK,MEIS2,NFIB,NR2F2,NRP1,PCDH17,PEAR1,PECAM1,PFN1,RAMP2,SASH1,SMAD1,SMTN,SPTBN1,ST6GAL1,THY1,TIMP3,TMSB4X,TSPAN4,TUBB6,ZCCHC24,ZEB1,ZNF521"
