Tissue	Cell type	Marker genes
Gastrointestinal tract	Enteroendocrine cells	"AFP,ARX,CCK,CHGA,CHGB,CPE,ENPP2,FABP5,FFAR1,FFAR4,GAL,GAST,GCG,GFRA3,GHRL,GIP,IAPP,ISL1,NEUROD1,NEUROG3,NKX2-2,NTS,NUCB2,PAX6,PCSK1,PYY,RIMBP2,SCGN,SCN3A,SCT,SST,SSTR2,TAC1,TRPA1,VEGFA,VWA5B2"
Gastrointestinal tract	Foveolar cells	"AKR1B10,ANXA10,CLDN18,CLPS,FOXQ1,GKN1,GKN2,GSTA1,IL33,KRT20,LGALS2,LGALS4,MUC1,PGC,PLA2G1B,PSCA,PTGR1,SULT1C2,TFF1,TFF2"
Gastrointestinal tract	Gastric chief cells	"ANPEP,CHRM3,EGFR,KCNQ1,LGR5,PRKCZ,RAB3D"
Gastrointestinal tract	Goblet cells	"AGR2,AQP3,ATOH1,BACE2,CDON,CDX2,CLCA1,CREB3L1,FCGBP,GALNT12,GUCA2A,ITLN1,KLK1,KRT20,KRT7,LRRC26,MANF,MUC13,MUC2,MUC4,MUC5B,NLRP6,PDIA5,PHGR1,PLA2G10,REP15,SLC9A8,SPDEF,SPINK4,TFF3,TPSG1,ZG16"
Gastrointestinal tract	Microfold cells	"AHR,ANXA5,CCL20,CTSD,CTSH,CXCL16,CYBA,EHF,FABP5,FOSL2,FOXP4,GJB2,GP2,IRF2,IRF6,MARCKSL1,MFGE8,MIER3,MTF1,NFIB,NFIC,ONECUT2,PGLYRP1,RAC2,RELB,SOX8,SPIB,TMPRSS2,TNFAIP2,TULP4"
Gastrointestinal tract	Paneth cells	"ADIPOQ,AGR2,ATG16L1,CFD,CLCA1,CSF2,CTNNB1,DEFA3,DEFA5,DLL1,DLL4,DMBT1,FABP4,GPX2,GUCA2A,GUCA2B,IL4R,ITLN1,KCNN4,KLF15,LGALS2,LGR4,LYZ,MMP7,MPTX1,MUC2,PLA2G2A,PNLIPRP2,PRSS1,RAP1A,REG3G,RETNLB,RIPK2,SPINK4,TM4SF20,WNT3"
Gastrointestinal tract	Parietal cells	"AQP4,BMI1,CD24,HAMP,HDC,HIP1R,KCNE2,KCNQ1,PODXL,PTCH1,SHH,SLC12A6"
Gastrointestinal tract	Tuft cells	"ALOX5,ATOH1,AVIL,CAMK2B,CDHR2,DCLK1,ESPN,FABP1,GFI1B,GNG13,IL13RA1,IL17RB,IRF7,KLF3,KLF6,LRMP,NREP,PLCB2,POU2F3,PTGS1,PTPRC,RAC2,RGS2,SOX9,TRPM5,TSLP"
Heart	Cardiac stem cells	"ABCG2,ADGRL2,ANKRD1,BMP4,CASP3,ETV2,FUT4,GATA4,ISL1,KIT,KITLG,MESP1,MYH6,NKX2-5,TBX18,TBX3,WNT5A,WT1"
Heart	Cardiomyocytes	"ACTA1,ACTC1,ACTN1,ACTN2,ADIPOQ,ADIPOR1,ADIPOR2,ADM,ADPRHL1,ANKRD1,AQP1,ART3,ASB2,ATP2A2,BDNF,BMP4,CASQ2,CCN2,CD36,CKB,CKM,CKMT2,CORO6,CPT1A,CSRP3,CTNNB1,CXCR4,DES,DMD,ENO3,FABP4,FGF2,FHL2,FMOD,GATA4,GATA6,GJA1,GJA5,GPIHBP1,HAMP,HAND1,HAND2,HEY2,HMGB2,HSPB7,IL11RA,JPH2,LOX,MB,MFN2,MITF,MTTP,MYBPC3,MYH6,MYH7,MYL2,MYL3,MYL4,MYL7,MYOM1,MYOM2,MYOZ2,NEXN,NKX2-5,NOTCH1,NPPB,NPPC,OBSCN,PDE1A,PDE4D,PDLIM5,PLN,PYGM,RBM20,RBM24,RRAD,RYR2,SGPL1,SLC5A1,SLN,SMPX,SORBS2,SOX18,SPEG,STC1,STRN,TBX20,TCAP,TNNC1,TNNI1,TNNI3,TNNT2,TPM1,TRDN,TRIM63,TRPV1,TTN,TXLNB,VLDLR"
Heart	His bundle cells	"GJA5,GJC1,KCNK3"
Heart	Purkinje fiber cells	"B3GAT1,GJA5,GJC1,KCNK3,NEFM"
Immune system	B cells	"B3GAT1,BACH2,BANK1,BCL11A,BIRC3,BLNK,BST1,BTLA,CCR7,CD14,CD19,CD2,CD22,CD24,CD27,CD38,CD40,CD40LG,CD5,CD52,CD55,CD69,CD70,CD72,CD74,CD79A,CD79B,CD80,CD86,CR2,CRELD2,CXCR4,DERL3,DNTT,DOK3,EAF2,EBF1,EDEM1,EDEM2,FAM129C,FCER2,FCHSD2,FCMR,FCRLA,FKBP11,FLI1,HLA-DQA1,HLA-DRA,HMGA1,HVCN1,IFIT3,IGHD,IGHG1,IGHG3,IGHG4,IGHM,IGKC,IGLC1,IGLC2,IGLC3,IGLL1,IL21R,IRF4,JCHAIN,KLHL6,LAIR1,LRMP,LTB,LY6D,MME,MS4A1,MZB1,PAX5,PDCD1,POLD4,POU2AF1,PTPRC,PWWP3A,PXK,RALGPS2,RASGRP3,SDC1,SEC61A1,SEMA6D,SLAMF6,SMAP2,SPCS3,SPIB,SPN,SWAP70,TNFRSF13B,TNFRSF13C,TNFRSF17,TNFRSF9,TXNDC11,VPREB1,VPREB3"
Immune system	Basophils	"ACSS2,ADORA2B,AQP9,BACE1,BMP4,CABLES1,CCL3,CCL4,CCR3,CD33,CD44,CD63,CD69,CDH1,CEBPA,CPA3,DNASE2B,E2F8,ENPP3,FADS1,FADS2,FAR2,FBXO9,FCER1A,GABBR1,GATA2,GPC4,GPR183,GRM6,HDC,HGF,HIST1H1D,HIST1H2AC,HTR1B,ID1,IFITM1,IGFBP7,IL3RA,IL4,IL4R,INF2,ITGAL,ITGAM,ITGAX,ITGB7,JAZF1,L1CAM,LAMA5,LTC4S,MBOAT1,MS4A2,MS4A3,NFIL3,NPL,OSBPL5,OTUB2,P2RY1,PDK3,PDZD4,PERP,PLEKHG5,PLG,RNF39,SLC26A3,SLC26A8,SNCAIP,ST6GALNAC5,SUPT3H,TEC,TULP3,WRN"
Immune system	Cancer cell	"ABCB5,ALPG,EPCAM,ERBB2,FOLH1,KRT18,MCAM,NGFR,NPEPPS,SMCP"
Immune system	Circulating fetal cell	"CLDN6,KCNQ4,MCAM"
Immune system	Cytokine induced killer cell	"CD3D,CD3E,CD3G,NCAM1"
Immune system	Cytotoxic T cells	"CD2,CD27,CD28,CD5,CD69,CD8A,GZMB,TRAC"
Immune system	Decidual cells	"DKK1,IGFBP1,PRL"
Immune system	Dendritic cells	"ADAM8,AIF1,ANPEP,AXL,C1orf54,CADM1,CAMK2D,CD14,CD1A,CD1C,CD1D,CD209,CD22,CD33,CD5,CD80,CD83,CD86,CLEC10A,CLEC4C,CLEC4F,CLEC9A,FCER1A,FCGR2B,FCGR3A,FTL,HLA-DMA,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRB1,IDO1,IL3RA,ITGAM,ITGAX,LILRB2,LST1,PPP1R14A,SERPINA1,SIGLEC1,SIGLEC6,THBD,TMEM176B,XCR1"
Immune system	Endothelial cell	"CD34,CDH5,PDPN,PECAM1,PROM1,PTPRC"
Immune system	Endothelial progenitor cell	"CD34,KDR,PECAM1,PROM1,PTPRC"
Immune system	Eosinophils	"C3AR1,C5AR1,CCL11,CCL5,CCR1,CCR3,CD244,CD44,CD69,CEACAM8,CPA3,CSF2,CXCR3,FCER2,FCGR3A,FCGR3B,FUT4,IKZF2,IL3RA,IL5,ITGAM,LTC4S,PGLYRP1,PRG2,RNASE2,S100A9,SIGLEC10"
